,DATE,CSUSHPISA,ASPNHSUS,CPIHOSNS,EVACANTUSQ176N,GDI,GDP,LFUN25TTUSM647S,MORTGAGE30US,MSPNHSUS,PERMIT,PERMIT1,POP,QTAXT01QTAXCAT1USNO,TLRESCONS,USAUCSFRCONDOSMSAMID,UMCSENT,UNRATE,FEDFUNDS,Year,Month,Day
0,2003-07-01,133.77700000000002,248400.0,185.9,15614.0,11565.399,11566.669,5218000.0,5.6325,190200.0,1885.0,1478.0,290820.0,60429.0,454040.0,152803.93687510755,90.9,6.2,1.01,2003,7,1
1,2003-08-01,134.969,241000.0,186.1,15627.333333333334,11565.399,11566.669,5258000.0,6.264,190500.0,1966.0,1521.0,291072.0,60429.0,458676.0,153889.75009925402,89.3,6.1,1.03,2003,8,1
2,2003-09-01,136.29399999999998,254500.0,185.8,15640.666666666666,11565.399,11566.669,5223000.0,6.1475,192000.0,1961.0,1533.0,291321.0,60429.0,463954.0,155038.70076478002,87.7,6.1,1.01,2003,9,1
3,2003-10-01,137.531,242800.0,185.7,15654.0,11734.357,11772.234,5237000.0,5.952,194100.0,2012.0,1566.0,291574.0,108519.0,475234.0,156198.11073916592,89.6,6.0,1.01,2003,10,1
4,2003-11-01,138.79399999999998,268300.0,185.1,15734.333333333334,11734.357,11772.234,5040000.0,5.9325,207100.0,1918.0,1513.0,291807.0,108519.0,490441.0,157276.23592309887,93.7,5.8,1.0,2003,11,1
5,2003-12-01,140.179,253900.0,185.1,15814.666666666666,11734.357,11772.234,4929000.0,5.876,196000.0,1987.0,1549.0,292008.0,108519.0,508637.0,158290.0403162651,92.6,5.7,0.98,2003,12,1
6,2004-01-01,141.64600000000002,262100.0,186.3,15895.0,11916.004,11923.447,4837000.0,5.7125,209500.0,1952.0,1539.0,292192.0,82281.0,503659.0,159257.9725089034,103.8,5.7,1.0,2004,1,1
7,2004-02-01,143.192,264100.0,187.0,15956.333333333334,11916.004,11923.447,4762000.0,5.635,219600.0,1966.0,1564.0,292368.0,82281.0,505081.0,160292.0346743072,94.4,5.6,1.01,2004,2,1
8,2004-03-01,145.059,261000.0,187.9,16017.666666666666,11916.004,11923.447,4961000.0,5.445,209600.0,2066.0,1648.0,292561.0,82281.0,511829.0,161432.8684496707,95.8,5.8,1.0,2004,3,1
9,2004-04-01,146.593,269300.0,188.4,16079.0,12148.492,12112.815,4691000.0,5.83,222300.0,2070.0,1617.0,292779.0,61509.0,517912.0,162708.22470724655,94.2,5.6,1.0,2004,4,1
10,2004-05-01,148.186,260400.0,188.9,15938.0,12148.492,12112.815,4651000.0,6.27,211700.0,2150.0,1675.0,292997.0,61509.0,528180.0,164144.33453489782,90.2,5.6,1.0,2004,5,1
11,2004-06-01,149.85,263200.0,190.3,15797.0,12148.492,12112.815,4683000.0,6.2875,215700.0,2020.0,1615.0,293223.0,61509.0,533358.0,165708.31593132138,95.6,5.6,1.03,2004,6,1
12,2004-07-01,151.338,279200.0,190.9,15656.0,12376.076,12305.307,4650000.0,6.056,212400.0,2112.0,1620.0,293463.0,61799.0,549031.0,167393.6520869936,96.7,5.5,1.26,2004,7,1
13,2004-08-01,152.63299999999998,272200.0,191.2,15557.666666666666,12376.076,12305.307,4552000.0,5.8675,218100.0,2056.0,1609.0,293719.0,61799.0,557411.0,169103.23464054652,95.9,5.4,1.43,2004,8,1
14,2004-09-01,154.179,269200.0,191.0,15459.333333333334,12376.076,12305.307,4497000.0,5.754,211600.0,2041.0,1586.0,293971.0,61799.0,552375.0,170791.1685458024,94.2,5.4,1.61,2004,9,1
15,2004-10-01,155.75,289600.0,191.0,15361.0,12540.611,12527.214,4424000.0,5.7225,229200.0,2097.0,1593.0,294230.0,120567.0,556425.0,172408.69083641257,91.7,5.5,1.76,2004,10,1
16,2004-11-01,157.52700000000002,283200.0,190.8,15490.0,12540.611,12527.214,4469000.0,5.73,224500.0,2079.0,1572.0,294466.0,120567.0,555944.0,173926.85511153543,92.8,5.4,1.93,2004,11,1
17,2004-12-01,159.33,284300.0,190.7,15619.0,12540.611,12527.214,4518000.0,5.752,229600.0,2082.0,1613.0,294694.0,120567.0,571871.0,175422.5453174743,97.1,5.4,2.16,2004,12,1
18,2005-01-01,161.28799999999998,283000.0,191.8,15748.0,12750.057,12767.286,4361000.0,5.71,223100.0,2139.0,1654.0,294914.0,87426.0,581168.0,176869.73535505202,95.5,5.3,2.28,2005,1,1
19,2005-02-01,163.344,289100.0,192.7,15852.333333333334,12750.057,12767.286,4441000.0,5.6275,237300.0,2114.0,1630.0,295105.0,87426.0,594003.0,178346.2539186784,94.1,5.4,2.5,2005,2,1
20,2005-03-01,165.812,289600.0,194.1,15956.666666666666,12750.057,12767.286,4267000.0,5.928,229300.0,2062.0,1580.0,295287.0,87426.0,597200.0,179869.385423116,92.6,5.2,2.63,2005,3,1
21,2005-04-01,167.50099999999998,289100.0,194.4,16061.0,12964.763,12922.656,4191000.0,5.855,236300.0,2150.0,1654.0,295490.0,67898.0,603975.0,181585.25377328624,87.7,5.2,2.79,2005,4,1
22,2005-05-01,169.351,287400.0,194.5,16001.666666666666,12964.763,12922.656,4243000.0,5.72,228300.0,2085.0,1644.0,295704.0,67898.0,609170.0,183408.00740866616,86.9,5.1,3.0,2005,5,1
23,2005-06-01,171.19,279600.0,195.5,15942.333333333334,12964.763,12922.656,4232000.0,5.582,226100.0,2178.0,1683.0,295936.0,67898.0,622726.0,185317.17283811537,96.0,5.0,3.04,2005,6,1
24,2005-07-01,172.86,289300.0,196.6,15883.0,13180.576,13142.642,4234000.0,5.695,229200.0,2203.0,1722.0,296186.0,65816.0,634572.0,187240.56734756316,96.5,5.0,3.26,2005,7,1
25,2005-08-01,174.442,295000.0,196.9,15863.0,13180.576,13142.642,4082000.0,5.82,240100.0,2219.0,1716.0,296440.0,65816.0,639501.0,189186.07895881587,89.1,4.9,3.5,2005,8,1
26,2005-09-01,176.438,299600.0,197.0,15843.0,13180.576,13142.642,4304000.0,5.774,240400.0,2263.0,1798.0,296707.0,65816.0,652748.0,191099.3148843809,76.9,5.0,3.62,2005,9,1
27,2005-10-01,178.028,293600.0,198.4,15823.0,13489.392,13324.204,4206000.0,6.065,243900.0,2170.0,1742.0,296972.0,131009.0,664407.0,192911.41569807503,74.2,5.0,3.78,2005,10,1
28,2005-11-01,179.68,294400.0,198.5,15960.0,13489.392,13324.204,4278000.0,6.33,237900.0,2218.0,1730.0,297207.0,131009.0,670757.0,194565.67270482893,81.6,5.0,4.0,2005,11,1
29,2005-12-01,180.91,290200.0,198.3,16097.0,13489.392,13324.204,4161000.0,6.272,238600.0,2120.0,1661.0,297431.0,131009.0,676135.0,196060.38131713672,91.5,4.9,4.16,2005,12,1
30,2006-01-01,182.321,301000.0,200.0,16234.0,13795.893,13599.16,3947000.0,6.145,244900.0,2212.0,1689.0,297647.0,94122.0,681263.0,197340.36128532223,91.2,4.7,4.29,2006,1,1
31,2006-02-01,183.287,307900.0,200.5,16327.0,13795.893,13599.16,4090000.0,6.2525,250800.0,2141.0,1643.0,297854.0,94122.0,684482.0,198529.0810558877,86.7,4.8,4.49,2006,2,1
32,2006-03-01,184.364,298800.0,201.3,16420.0,13795.893,13599.16,4031000.0,6.324,238800.0,2118.0,1551.0,298060.0,94122.0,674457.0,199726.36578179427,88.9,4.7,4.59,2006,3,1
33,2006-04-01,184.329,310300.0,201.7,16513.0,13973.084,13753.424,4052000.0,6.5075,257000.0,1998.0,1496.0,298281.0,72588.0,656899.0,201012.8177607633,87.4,4.7,4.79,2006,4,1
34,2006-05-01,184.156,293900.0,202.2,16598.333333333332,13973.084,13753.424,3974000.0,6.5975,238200.0,1905.0,1450.0,298496.0,72588.0,640049.0,202282.54591937375,79.1,4.6,4.94,2006,5,1
